7zip 26.03-1.1
haskell-hashable 1.4.7.0-117
haskell-hosc 0.20-186
haskell-hourglass 0.2.12-393
haskell-hslua 2.5.0-6
haskell-hslua-aeson 2.3.2-13
haskell-hslua-classes 2.3.2-8
haskell-hslua-core 2.3.2.1-6
haskell-hslua-list 1.1.4-78
haskell-hslua-marshalling 2.3.2-14
haskell-hslua-module-doclayout 1.2.1.1-7
haskell-hslua-module-path 1.2.0-4
haskell-hslua-module-system 1.3.0-4
haskell-hslua-module-text 1.2.0-4
haskell-hslua-module-version 1.2.0.1-4
haskell-hslua-module-zip 1.2.1-5
haskell-hslua-objectorientation 2.5.0-4
haskell-hslua-packaging 2.4.1-4
haskell-hslua-repl 0.1.2-192
haskell-hslua-typing 0.2.0-4
haskell-http-api-data 0.6.1-89
haskell-http-client 0.7.19-105
haskell-http-client-tls 0.3.6.4-200
haskell-http-date 0.0.11-285
haskell-http-media 0.8.1.1-161
haskell-http-types 0.12.4-181
haskell-http2 5.1.4-23
haskell-hunit 1.6.2.0-519
haskell-indexed-traversable 0.1.5-1
haskell-indexed-traversable-instances 0.1.2.1-35
haskell-integer-conversion 0.1.1-101
haskell-integer-logarithms 1.0.4-238
haskell-iproute 1.7.15-131
haskell-ipynb 0.2-340
haskell-isocline 1.0.9-4
haskell-jira-wiki-markup 1.5.1-169
haskell-juicypixels 3.3.9-140
haskell-lexer 1.2-2
haskell-libyaml 0.1.4-219
haskell-lifted-async 0.11.0-224
haskell-lifted-base 0.2.3.12-527
haskell-lpeg 1.1.0.1-13
haskell-lua 2.3.4-50
haskell-lua-arbitrary 1.0.1.2-44
haskell-math-functions 0.3.4.4-576
haskell-memory 0.18.0-155
haskell-microlens 0.4.14.0-2
haskell-microlens-ghc 0.4.15.1-2
haskell-microlens-mtl 0.2.1.0-2
haskell-microlens-th 0.4.3.17-7
haskell-mime-types 0.1.2.1-1
haskell-mmorph 1.2.2-1
haskell-monad-control 1.0.3.1-361
haskell-mono-traversable 1.0.21.0-193
haskell-mwc-random 0.15.3.0-40
haskell-network 3.1.4.0-168
haskell-network-bsd 2.8.1.0-358
haskell-network-byte-order 0.1.7-4
haskell-network-control 0.1.4-8
haskell-network-uri 2.6.4.2-181
haskell-old-locale 1.0.0.7-33
haskell-old-time 1.1.1.0-25
haskell-onetuple 0.4.3-16
haskell-only 0.1-25
haskell-open-browser 0.2.1.1-3
haskell-optparse-applicative 0.18.1.0-426
haskell-ordered-containers 0.2.4-147
haskell-os-string 2.0.11-43
haskell-pandoc 3.10.2-7
haskell-pandoc-lua-engine 0.5.3.1-7
haskell-pandoc-lua-marshal 0.3.2.1-6
haskell-pandoc-server 0.1.3.1-7
haskell-pandoc-types 1.23.1.2-7
haskell-pem 0.2.4-433
haskell-pretty-show 1.10-20
haskell-prettyprinter 1.7.2-18
haskell-prettyprinter-ansi-terminal 1.1.4-91
haskell-primitive 0.9.1.0-207
haskell-psqueues 0.2.8.3-44
haskell-quickcheck 2.15.0.1-229
haskell-random 1.2.1.3-316
haskell-recv 0.1.1-118
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.6-6
haskell-resourcet 1.3.0-26
haskell-safe 0.3.21-152
haskell-safe-exceptions 0.1.7.4-284
haskell-scientific 0.3.8.1-122
haskell-semialign 1.3.1.1-29
haskell-semigroupoids 6.0.2-50
haskell-serialise 0.2.6.1-231
haskell-servant 0.20.3.0-110
haskell-servant-server 0.20.3.0-144
haskell-shakespeare 2.2.0-8
haskell-simple-sendfile 0.2.32-256
haskell-singleton-bool 0.1.8-93
haskell-skylighting 0.14.7-7
haskell-skylighting-core 0.14.7-7
haskell-skylighting-format-ansi 0.1-355
haskell-skylighting-format-blaze-html 0.1.2.1-7
haskell-skylighting-format-context 0.1.0.2-319
haskell-skylighting-format-latex 0.1-354
haskell-skylighting-format-typst 0.1-8
haskell-some 1.0.6-119
haskell-sop-core 0.5.0.2-4
haskell-split 0.2.5.1-2
haskell-splitmix 0.1.3.1-24
haskell-statevar 1.2.2-5
haskell-streaming-commons 0.2.3.1-51
haskell-strict 0.5.1-131
haskell-syb 0.7.4-8
haskell-tagged 0.8.10-1
haskell-tagsoup 0.14.8-373
haskell-tasty 1.5.4-18
haskell-tasty-hunit 0.10.2-303
haskell-tasty-lua 1.1.2-6
haskell-temporary 1.3-1051
haskell-texmath 0.13.2.1-6
haskell-text-conversions 0.3.1.1-211
haskell-text-icu 0.8.0.5-151
haskell-text-iso8601 0.1.1.2-3
haskell-text-short 0.1.6.1-78
haskell-th-abstraction 0.6.0.0-1
haskell-th-compat 0.1.7-44
haskell-th-lift 0.8.7-1
haskell-th-lift-instances 0.1.20-200
haskell-these 1.2.1-341
haskell-tidal 1.9.5-158
haskell-tidal-link 1.0.3-3
haskell-time-compat 1.9.9-110
haskell-time-manager 0.0.1-193
haskell-tls 2.0.6-130
haskell-toml-parser 2.0.2.0-34
haskell-transformers-base 0.4.6.1-92
haskell-transformers-compat 0.7.2-4
haskell-typed-process 0.2.13.0-274
haskell-typst 0.11-7
haskell-typst-symbols 0.3-1
haskell-unicode-collation 0.1.3.7-23
haskell-unicode-data 0.7.0-13
haskell-unicode-transforms 0.4.0.1-227
haskell-uniplate 1.6.13-382
haskell-unix-compat 0.7.4.1-95
haskell-unix-time 0.4.17-116
haskell-unliftio 0.2.25.1-136
haskell-unliftio-core 0.2.1.0-4
haskell-unordered-containers 0.2.21-24
haskell-utf8-string 1.0.2-345
haskell-utility-ht 0.0.17.2-149
haskell-uuid-types 1.0.6.1-78
haskell-vault 0.3.2.0-5
haskell-vector 0.13.2.0-536
haskell-vector-algorithms 0.9.1.0-181
haskell-vector-stream 0.1.0.1-4
haskell-wai 3.2.5-4
haskell-wai-app-static 3.1.9.1-30
haskell-wai-cors 0.2.7-533
haskell-wai-extra 3.1.18-116
haskell-wai-logger 2.5.0-187
haskell-warp 3.4.0-92
haskell-witherable 0.5-6
haskell-word8 0.1.3-25
haskell-xml 1.3.14-33
haskell-xml-conduit 1.9.1.4-210
haskell-xml-types 0.3.8-11
haskell-yaml 0.11.11.2-263
haskell-zip-archive 0.4.3.2-154
haskell-zlib 0.7.1.1-1
hcxdumptool 7.1.2-1.1
hcxkeys 6.2.1-3.2
hcxtools 7.1.2-1.1
hddtemp 0.3.beta15.54-5.1
hdf5 2.2.0-1.1
hdparm 9.65-3.1
heimdall 2.2.2-1.1
help2man 1.49.3-2.2
hexter 1.1.1-4.1
hexyl 0.17.0-1.1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highlight 4.21-1.1
highway 1.4.0-1.1
hindsight 0.15.0-1
hiredis 1.3.0-1.1
hivex 1.3.24-8.1
hping 3.0.0-6.1
hslua-cli 1.4.4-15
hspell 1.4-7.1
html2md 1.6.0-2
htop 3.5.3-1.1
httping 4.4.0-1.1
httptunnel 3.3-9.1
httrack 3.50.1-1.1
hunspell 1.7.3-1.1
hunspell-en_us 2026.02.25-1
hwdata 0.410-1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1.1
hwloc 2.14.0-1.1
hydra 9.7-1.1
hyperv 7.2.3-1.1
hyphen 2.8.9-1.1
hyprcursor 0.1.13-7.1
hyprlang 0.6.8-5.1
hyprutils 0.14.1-1.1
i2c-tools 4.4-4.1
i2pd 2.61.0-2.1
iaito 6.2.0-1.1
iana-etc 20260617-1
ibus 1.5.34-1.1
icoutils 0.32.3-4.1
icu 78.3-1.1
icu75 75.1-9
iempluginsuite-standalone 1.14.1-3.2
ifuse 1.2.0-1.1
igsc 0.9.5-13.1
iio-sensor-proxy 3.9-1.1
ijs 0.35-7.1
imagemagick 7.1.2.31-1.1
imath 3.2.3-1.1
img2pdf 0.6.3-1
imlib2 1.12.7-3.1
inetutils 2.8-1.1
infamousplugins 0.3.2-2.1
iniparser 4.2.6-2.1
intel-advisor-standalone 2026.0.0.266-2
intel-compute-runtime 26.31.39395.13-1.1
intel-dpcpp-cpp-compiler 2026.0.0-1
intel-gmmlib 22.10.0-1.1
intel-gpu-tools 2.5-1.1
intel-graphics-compiler 1:2.40.13-1.1
intel-ipp 2026.0.0-1
intel-level-zero-raytracing-support-git r198.git.6081f51-1
intel-llvm-git 23.0.0_r615667.591a75f17bac-1
intel-media-driver 26.2.4-1.1
intel-media-sdk 23.2.2-6.1
intel-metee 6.2.5-1.1
intel-metrics-discovery-git 1.14.185.r0.g6752a06-1
intel-oneapi-common 2026.0.0_235-1
intel-oneapi-compiler-shared-runtime 2026.0.0_947-1.1
intel-oneapi-mkl 2026.0.0.909-1
intel-pti 0.17.0-1.1
intel-speed-select 7.2.3-1.1
intel-xpumanager-bin 1.3.7-1
inter-font 4.1-1
intltool 0.51.0-6
inxi 3.3.41.1-1
iodine 0.8.0-2.2
iperf3 3.21-1.1
ipmitool 1.8.19-4.2
ipp-usb 0.9.34-1.1
iproute2 7.2.0-1.1
iptables 1:1.8.13-1.1
iputils 20250605-1.1
ipython 9.17.0-1
iso-codes 4.20.1-1
isoimagewriter 26.08.0-1.1
it-tools-web 2026.7.11-1
iw 6.17-1.1
jackett 0.24.2531-1
jad 1.5.8e-12.2
jadx 1.5.6-1
jansson 2.15.1-1.1
japa 0.9.4-4.1
jasper 4.2.9-1.1
java-avalon-framework 4.2.0-10
java-batik 1.19-1
java-commons-io 2.22.0-1
java-commons-logging 1.4.0-1
java-environment-common 3-6
java-rhino 1.7.15-1
java-runtime-common 3-6
java-xmlgraphics-commons 2.11-1
jbig2dec 0.20-2.1
jbig2enc-git 0.32.19.gd0dfca4-1
jbigkit 2.1-8.2
jc303-common 0.12.3-1
jdk-openjdk 26.0.2.1.u1-1
jdk11-openjdk 11.0.32.1.u1-1.1
jdk17-openjdk 17.0.20.1.u1-1.1
jdk21-openjdk 21.0.12.1.u1-1
jdk8-openjdk 8.504.u01-1.1
jemalloc 1:5.3.1-3.1
jfsutils 1.1.15-9.2
jhead 3.08-3.1
john 1.9.0.jumbo1-13.1
jpeg2png-git 1.01.r5.g7ae6e42-1.1
jpegoptim 1.5.6-1.1
jq 1.8.2-1.1
jre8-openjdk 8.504.u01-1.1
jre8-openjdk-headless 8.504.u01-1.1
js140 140.15.0-1
js80p 4.1.1-1.1
json-c 0.19-1.1
json-glib 1.10.8-1.1
jsoncpp 1.9.8-1.1
judy 1.0.5-10.1
julia 2:1.12.7-1
jupyter-lsp 2.3.1-1
jupyter-metakernel 1.0.7-1
jupyter-nbclient 0.11.0-1
jupyter-nbconvert 7.17.1-2
jupyter-nbformat 5.11.1-1
jupyter-notebook-shim 0.2.4-4
jupyter-server 2.21.0-1
jupyterlab 4.6.3-1
jupyterlab-pygments 0.3.0-4
just 1.58.0-1.1
jxrlib 1.3.2-1.1
kaccounts-integration 26.08.0-1.1
kaccounts-providers 26.08.0-1.1
kactivities5 5.116.0-2.1
kactivitymanagerd 6.7.4-1.1
kamera 26.08.0-1.1
kamoso 26.08.0-1.1
kapidox 6.29.0-1
karchive 6.29.0-1.1
karchive5 5.116.0-3.1
kate 26.08.0-1.1
kauth 6.29.0-1.1
kauth5 5.116.0-2.1
kbd 2.10.0-1.1
kbookmarks 6.29.0-1.1
kbookmarks5 5.116.0-2.1
kcalc 26.08.0-1.1
kcalendarcore 6.29.0-1.1
kcmutils 6.29.0-1.1
kcmutils5 5.116.0-2.1
kcodecs 6.29.0-1.1
kcodecs5 5.116.0-2.1
kcolorchooser 26.08.0-1.1
kcolorpicker 0.3.1-6.1
kcolorscheme 6.29.0-1.1
kcompletion 6.29.0-1.1
kcompletion5 5.116.0-2.1
kconfig 6.29.0-1.1
kconfig5 5.116.0-2.1
kconfigwidgets 6.29.0-1.1
kconfigwidgets5 5.116.0-3.1
kcontacts 1:6.29.0-1.1
kcoreaddons 6.29.0-1.1
kcoreaddons5 5.116.0-2.1
kcpuid 7.2.3-1.1
kcrash 6.29.0-1.1
kcrash5 5.116.0-2.1
kcron 26.08.0-1.1
kdav 1:6.29.0-1.1
kdbusaddons 6.29.0-1.1
kdbusaddons5 5.116.0-2.1
kddockwidgets 2.4.1-1.1
kde-cli-tools 6.7.4-1.1
kde-gtk-config 6.7.4-1.1
kde-inotify-survey 26.08.0-1.1
kde-network-meta 26.08-1
kde-system-meta 26.08-1
kdeclarative 6.29.0-1.1
kdeclarative5 5.116.0-2.1
kdeconnect 26.08.0-1.1
kdecoration 6.7.4-1.1
kded 6.29.0-1.1
kded5 5.116.0-2.1
kdegraphics-mobipocket 26.08.0-1.1
kdegraphics-thumbnailers 26.08.0-1.1
kdenetwork-filesharing 26.08.0-1.1
kdenlive 26.08.0-1.1
kdeplasma-addons 6.7.4-3.1
kdesu 6.29.0-1.1
kdf 26.08.0-1.1
kdialog 26.08.0-1.1
kdnssd 6.29.0-1.1
kdnssd5 5.116.0-2.1
kdoctools 6.29.0-1.1
kdsingleapplication 1.2.1-1.1
kdsoap 2.3.0-1.1
kdsoap-ws-discovery-client 0.4.0-3.1
keditbookmarks 26.08.0-1.1
keyutils 1.6.3-4.1
kfilemetadata 6.29.0-1.1
kgamma 6.7.4-1.1
kget 26.08.0-1.1
kglobalaccel 6.29.0-1.1
kglobalaccel5 5.116.0-2.1
kglobalacceld 6.7.4-1.1
kgraphviewer 26.08.0-1.1
kguiaddons 6.29.0-1.1
kguiaddons5 5.116.0-2.1
khelpcenter 26.08.0-1.1
kholidays 1:6.29.0-1.1
ki18n 6.29.0-1.1
ki18n5 5.116.0-2.1
kiconthemes 6.29.0-1.1
kiconthemes5 5.116.0-2.1
kidentitymanagement 26.08.0-1.1
kidletime 6.29.0-1.1
kidletime5 5.116.0-2.1
kimageannotator 0.7.2-2.1
kimageformats 6.29.0-1.1
kimageformats5 5.116.0-8.1
kimagemapeditor 26.08.0-1.1
kinfocenter 6.7.4-1.1
kio 6.29.0-2.1
kio-admin 26.08.0-1.1
kio-extras 26.08.0-1.1
kio-fuse 5.1.1-2.1
kio-gdrive 26.08.0-1.1
kio-zeroconf 26.08.0-1.1
kio5 5.116.0-6.1
kirigami 6.29.0-1.1
kirigami-addons 1.13.1-1.1
kirigami-app-components 1.0.2-1.1
kirigami2 5.116.0-2.1
kismet 2025_09_R1-4.1
kissfft 131.2.0-2.1
kitemmodels 6.29.0-1.1
kitemviews 6.29.0-1.1
kitemviews5 5.116.0-2.1
kitty-git 1:0.48.2.r1.g999cde66d-1
kitty-shell-integration-git 1:0.48.2.r1.g999cde66d-1
kitty-terminfo-git 1:0.48.2.r1.g999cde66d-1
kjobwidgets 6.29.0-1.1
kjobwidgets5 5.116.0-2.1
kjournald 26.08.0-1.1
kleopatra-git 26.07.70_r9939.g40891584e-1
klipper 0.13.0-4.1
klipperscreen 0.4.7-2
kmailtransport 26.08.0-1.1
kmbox 26.08.0-1.1
kmenuedit 6.7.4-1.1
kmime 1:6.29.0-2.1
kmod 34.2-1
knewstuff 6.29.0-1.1
knewstuff5 5.116.0-5.1
knighttime 6.7.4-1.1
knotifications 6.29.0-1.1
knotifications5 5.116.0-3.1
knotifyconfig 6.29.0-1.1
knotifyconfig5 5.116.0-2.1
koko 26.08.0-1.1
kolourpaint 26.08.0-1.1
kometa 2.4.8-1
konqueror 26.08.0-1.1
konsole 26.08.0-1.1
konversation 26.08.0-1.1
kpackage 6.29.0-1.1
kpackage5 5.116.0-3.1
kparts 6.29.0-1.1
kparts5 5.116.0-2.1
kpeople 6.29.0-1.1
kpimtextedit 26.08.0-1.1
kpipewire 6.7.4-5.2
kplotting 6.29.0-1.1
kpmcore 26.08.0-1.1
kpty 6.29.0-1.1
kpty5 5.116.0-2.1
kquickcharts 6.29.0-1.1
kquickimageeditor 0.7.0.1-1
krb5 1.22.2-1.1
krdc 26.08.0-1.1
krdp 6.7.4-1.1
krfb 26.08.0-1.1
krita 6.0.3-2.1
kruler 26.08.0-1.1
krunner 6.29.0-1.1
ksanecore 26.08.0-1.1
kscreen 6.7.4-1.1
kscreenlocker 6.7.4-1.1
kservice 6.29.0-1.1
kservice5 5.116.0-3.1
ksmtp 26.08.0-1.1
ksshaskpass 6.7.4-1.1
kstatusnotifieritem 6.29.0-1.1
ksvg 6.29.0-1.1
ksystemlog 26.08.0-1.1
ksystemstats 6.7.4-1.1
ktextaddons 2.1.2-1
ktexteditor 6.29.0-1.1
ktexteditor5 5.116.0-2.1
ktexttemplate 6.29.0-1.1
ktextwidgets 6.29.0-1.1
ktextwidgets5 5.116.0-2.1
ktikz 0.13.2-3.1
ktorrent 26.08.0-1.1
kubo 0.43.0-1.1
kunifiedpush 26.08.0-1.1
kunitconversion 6.29.0-1.1
kuserfeedback 6.29.0-1.1
kvantum 1.1.8-1.1
kvantum-theme-catppuccin-git r21.71105d2-1
kvazaar 2.3.2-2.1
kwallet 6.29.0-1.1
kwallet-pam 6.7.4-1.1
kwallet5 5.116.0-6.1
kwalletmanager 26.08.0-1.1
kwayland 6.7.4-1.1
kwayland5 5.116.0-2.1
kwidgetsaddons 6.29.0-1.1
kwidgetsaddons5 5.116.0-2.1
kwin 6.7.4-8
kwin-x11 6.7.4-4
kwindowsystem 6.29.0-1.1
kwindowsystem5 5.116.0-2.1
kwrited 6.7.4-1.1
kxmlgui 6.29.0-1.1
kxmlgui5 5.116.0-2.1
l-smash 2.14.5-4.2
ladspa 1.17-7.1
lagrange 1.21.1-1
lame 4.0-1.1
lapack 3.12.1-2.2
laszip2 2.2.0-3.1
layer-shell-qt 6.7.4-4
lcevcdec 4.2.1-1.1
lcms2 2.19.1-1.1
ldb 2:4.24.6-1.1
leancrypto 1.8.0-1.1
lensfun 1:0.3.4-6.1
leptonica 1.87.0-2.1
lerc 4.1.1-1
less 1:704-1.1
lesspipe 2.27-1
level-zero-headers-git 1.31.0.r2.g111bf65-1
level-zero-loader 1.32.0-1.1
leveldb 1.23-4.2
leveldb-cli 1.5.2-1
lhasa-git 0.6.0.r563.g75ed835-1
lib32-aalib 1.4rc5-5.1
lib32-acl 2.4.0-1.1
lib32-alsa-lib 1.2.16.1-1.1
lib32-alsa-plugins 1.2.12-1.2
lib32-amdgpu-pro-oglp 25.10_2203192-1
lib32-at-spi2-core 2.60.6-1.1
lib32-attr 2.6.0-1.1
lib32-audit 4.2.1-1.1
lib32-brotli 1.2.0-2.1
lib32-bzip2 1.0.8-4.2
lib32-cairo 1.18.4-1.2
lib32-cdparanoia 10.2-5.2
lib32-clang 22.1.8-1
lib32-colord 1.4.8-1.1
lib32-curl 8.22.0-1.1
lib32-dbus 1.16.2-1.2
lib32-dbus-glib 0.114-1.2
lib32-duktape 2.7.0-7.2
lib32-e2fsprogs 1.47.4-1.1
lib32-expat 2.8.4-1.1
lib32-fakeroot 1:1.37.2-3.1
lib32-faudio 26.07-1
lib32-flac-git 1.5.0.r31.gb430c3a5-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1.1
lib32-fribidi 1.0.16-2.1
lib32-gamemode 1.8.2-1.2
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-gdk-pixbuf2 2.44.7-1.1
lib32-gettext 1.0-1.1
lib32-giflib 6.1.3-1.1
lib32-glib-networking 1:2.80.1-1.2
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-glu 9.0.3-2.2
lib32-gmp 6.3.0-2.1
lib32-gnutls 3.8.13-3.1
lib32-gpm 1.20.7.r38.ge82d1a6-2.1
lib32-gst-plugins-base-libs 1.28.5-1
lib32-gst-plugins-good 1.28.5-1
lib32-gstreamer 1.28.5-1
lib32-gtest 1.15.2-1
lib32-gtk3 1:3.24.52-1.1
lib32-harfbuzz 14.4.0-1.1
lib32-icu 78.3-1.1
lib32-imlib2 1.12.6-1.1
lib32-json-c 0.19-1.1
lib32-json-glib 1.10.8-1.1
lib32-keyutils 1.6.3-4.1
lib32-krb5 1.22.2-1.1
lib32-lcms2 2.17-1.1
lib32-libappindicator 12.10.1-1.1
lib32-libasyncns 1:0.8+r3+g68cd5af-3.1
lib32-libavc1394 0.5.4-5.2
lib32-libcaca 0.99.beta20-2.2
lib32-libcanberra 1:0.30+r2+gc0620e4-4.1
lib32-libcap 2.78-1.1
lib32-libcups 2.4.19-2.1
lib32-libdatrie 0.2.14-1.1
lib32-libdav1d 1.5.3-1
lib32-libdbusmenu-glib 18.10.20180917-1.1
lib32-libdbusmenu-gtk3 18.10.20180917-1.1
lib32-libdrm 2.4.134-1.1
lib32-libdv 1.0.0-9.2
lib32-libelf 0.196-2.2
lib32-libepoxy 1.5.10-2.2
lib32-libffi 3.8.0-1.1
lib32-libgcrypt 1.12.3-1.1
lib32-libglvnd 1.7.0-1.3
lib32-libgpg-error 1.61-1.1
lib32-libgudev 238-3.1
lib32-libice 1.1.2-1.1
lib32-libidn2 2.3.8-1.1
lib32-libiec61883 1.2.0-5.2
lib32-libindicator 12.10.1-11.1
lib32-libjpeg-turbo 3.2.0-1.1
lib32-libldap 2.6.13-1.1
lib32-libltdl 2.6.2-5.1
lib32-libnghttp2 1.70.0-1.1
lib32-libnghttp3 1.18.0-1.1
lib32-libngtcp2 1.25.0-1.1
lib32-libnl 3.12.0-1.1
lib32-libnm 1.58.1-2.1
lib32-libnsl 2.0.1-2.1
lib32-libogg 1.3.6-1.1
lib32-libpcap 1.10.6-1.1
lib32-libpciaccess 0.19-1.1
lib32-libpipewire 1:1.6.8-1.1
lib32-libpng 1.6.58-2
lib32-libproxy 0.5.12-1.1
lib32-libpsl 0.21.5-1.2
lib32-libpulse 17.0+r98+gb096704c0-1.1
lib32-libraw1394 2.1.2-5.2
lib32-librsvg 2:2.62.3-1
lib32-libshout 1:2.4.6-4.2
lib32-libsm 1.2.6-1.1
lib32-libsndfile 1.2.2-3.1
lib32-libsoup3 3.6.6-2
lib32-libssh2 1.11.1-5.1
lib32-libtasn1 4.21.0-1.1
lib32-libthai 0.1.30-1.1
lib32-libtheora 1.2.0-1.2
lib32-libtiff 4.7.2-1.1
lib32-libtirpc 1.3.7-1.1
lib32-libunistring 1.4.2-1.1
lib32-libunwind 1.8.2-1.1
lib32-libusb 1.0.30-1.1
lib32-libva 2.24.1-1.1
lib32-libvdpau 1.5-5
lib32-libvorbis 1.3.7-4.2
lib32-libvpx 1.16.0-2.1
lib32-libwebp 1.6.0-1.1
lib32-libx11 1.8.13-1.1
lib32-libxau 1.0.12-1.1
lib32-libxcb 1.17.0-1.2
lib32-libxcomposite 0.4.7-1.1
lib32-libxcrypt 4.5.2-1.1
lib32-libxcrypt-compat 4.5.2-1.1
lib32-libxcursor 1.2.3-1.2
lib32-libxdamage 1.1.7-1.1
lib32-libxdmcp 1.1.5-1.2
lib32-libxext 1.3.7-1.1
lib32-libxfixes 6.0.2-1.1
lib32-libxft 2.3.9-1.1
lib32-libxi 1.8.3-1.1
lib32-libxinerama 1.1.6-1.1
lib32-libxkbcommon 1.13.2-1.1
lib32-libxml2 2.15.4-1.1
lib32-libxmu 1.3.1-1.1
lib32-libxrandr 1.5.5-1.1
lib32-libxrender 0.9.12-1.1
lib32-libxshmfence 1.3.3-1.2
lib32-libxslt 1.1.45-1.1
lib32-libxss 1.2.5-1.1
lib32-libxt 1.3.1-1.2
lib32-libxtst 1.2.5-2.2
lib32-libxv 1.0.13-1.1
lib32-libxxf86vm 1.1.7-1.1
lib32-llvm 1:22.1.8-1.1
lib32-llvm-libs 1:22.1.8-1.1
lib32-lm_sensors 1:3.6.2-2.1
lib32-mesa-git 26.3.0_devel.226768.1b0f0e0a83c.d41d8cd-1
lib32-mpg123 1.33.7-1.1
lib32-ncurses 6.6-2.1
lib32-nettle 4.0-2.1
lib32-nspr 4.40-1.1
lib32-nss 3.128-1.1
lib32-ocl-icd 2.3.5-1.1
lib32-openal 1.25.2-1.1
lib32-openssl 1:3.6.4-1
lib32-openssl-1.1 1.1.1.w-5
lib32-opus 1.6.1-1.1
lib32-orc 0.4.43-2
lib32-p11-kit 0.26.5-1.1
lib32-pam 1.7.2-1.1
lib32-pango 1:1.58.2-1.1
lib32-pcre2 10.48-1.1
lib32-pipewire 1:1.6.8-1.1
lib32-pipewire-jack 1:1.6.8-1.1
lib32-pipewire-v4l2 1:1.6.8-1.1
lib32-pixman 0.46.4-1.1
lib32-popt 1.19-2.2
lib32-rtmpdump 1:2.6-2
lib32-rust-libs 1:1.98.1-1
lib32-sdl2-compat 2.32.70-1.1
lib32-sdl3 3.4.16-1.1
lib32-speex 1.2.1-2.2
lib32-spirv-llvm-translator-git r2393.e10ca9b-1
lib32-spirv-tools-git 2026.2.4736.f25a3b067-1
lib32-sqlite 3.53.4-1.1
lib32-systemd 261.2-1.1
lib32-taglib 2.3.1-1.1
lib32-tdb 1.4.15-1.1
lib32-twolame 0.4.0-3.2
lib32-util-linux 2.42.3-1.1
lib32-v4l-utils 1.32.0-1.1
lib32-vkd3d 1.19-1.1
lib32-vulkan-amdgpu-pro 25.10_2203192-1
lib32-vulkan-icd-loader-git 1.4.354.r25.gd745850-1
lib32-wavpack 5.9.0-1.1
lib32-wayland 1.26.0-1.1
lib32-xz 5.8.3-1.1
lib32-zlib 1.3.2-1.1
lib32-zstd 1.5.7-2.2
libaccounts-glib 1.27-3.2
libaccounts-qt 1.17-2.1
libad9361 0.3-2.1
libadwaita 1:1.9.3-1.1
libaec 1.1.7-1.1
libaegis 0.10.1-1
libaemu 0.1.2-5.1
libaio 0.3.113-5.1
libao 1.2.2-7.1
libappindicator 12.10.1-2.1
libarchive 3.8.9-1.1
libaribcaption 1.1.2-1.1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1.1
libassuan 3.0.0-1.2
libasyncns 1:0.8+r3+g68cd5af-3.1
libatasmart 0.19-8.1
libatomic 16.2.1+r23+gd564253eb6c8-1
libavc1394 0.5.4-7.1
libavif 1.4.2-1.1
libavtp 0.2.0-3.2
libavutil-52 2.3.6-4
libayatana-appindicator 0.6.0-2.1
libayatana-appindicator-glib 2.0.3-1
libayatana-indicator 0.9.5-1.1
libb2 0.98.1-3.2
libblake3 1.8.7-1.1
libblastrampoline 5.15.0-1.1
libblockdev 3.5.0-2.1
libblockdev-crypto 3.5.0-2.1
libblockdev-fs 3.5.0-2.1
libblockdev-loop 3.5.0-2.1
libblockdev-mdraid 3.5.0-2.1
libblockdev-nvme 3.5.0-2.1
libblockdev-part 3.5.0-2.1
libblockdev-smart 3.5.0-2.1
libblockdev-swap 3.5.0-2.1
libbluray 1.5.1-1.1
libbpf 1.7.0-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.2
libburn 1.5.8-1.1
libbytesize 2.12-3.1
libc++ 22.1.8-1.1
libc++abi 22.1.8-1.1
libcaca 0.99.beta20-7.1
libcacard 2.8.1-1.2
libcamera 0.7.2-4.1
libcamera-ipa 0.7.2-4.1
libcamera-tools 0.7.2-4.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.78-1.1
libcap-ng 0.9.5-1.1
libcbor 0.14.0-1.1
libcddb 1.3.2-9.1
libcdio 2.4.0-1.1
libcdio-paranoia 10.2+2.0.2-3.1
libcdk 5.0.20240619-1
libcec 7.1.1-2.1
libcerf 1:3.7-1.1
libcgif 0.5.4-1.1
libclc-git 1:23.0.0_r586011.fe1fc78c3e49-1
libcli 1.10.7-2.2
libcloudproviders 0.4.1-1
libcolord 1.4.8-1.1
libconfig 1.8.2-2.1
libcue 2.3.0-2.1
libcups 2:2.4.19-1.1
libcupsfilters 2.2.1-2.1
libcurl-gnutls 8.22.0-1
libdaemon 0.14-6.2
libdatrie 0.2.14-1.1
libdbi 0.9.0-8.1
libdbusmenu-glib 18.10.20180917-2.1
libdbusmenu-gtk3 18.10.20180917-2.1
libdbusmenu-qt5 0.9.3+16.04.20160218-8.1
libdc1394 2.2.7-2.1
libdca 0.0.7-3.1
libde265 1.1.2-1.1
