7zip 26.03-1.1
bladerf 2025.10-1.1
blas 3.12.1-2.2
blas64-openblas 0.3.34-1.1
blosc 1.21.6-2
blosc2 3.3.3-1.1
bluedevil 1:6.7.4-1.1
blueprint-compiler 0.22.2-1
bluez 5.87-2
bluez-cups 5.87-2
bluez-libs 5.87-2
bluez-obex 5.87-2
bluez-qt 6.29.0-1.1
bluez-qt5 5.116.0-3
bluez-utils 5.87-2
bolt 0.9.11-3.1
boltbrowser 2.2-1
boost 1.92.0-1.1
boost-libs 1.92.0-1.1
bootconfig 7.2.3-1.1
botan 3.13.0-1.1
bpf 7.2.3-1.1
bpython 0.26-2
breeze 6.7.4-2.1
breeze-cursors 6.7.4-2.1
breeze-gtk 6.7.4-1
breeze-icons 6.29.0-1.1
breeze-plymouth 6.7.4-1.1
breezy 3.3.21-2.1
bridge-utils 1.7.1-5
brltty 6.9.1-3.1
brotli-git 1.2.0.r132.gf0328d1-1
brunsli 0.1-4
bsequencer 1.8.10-4.1
bshapr 0.13-4.1
bslizr 1.2.16-4.1
btop 1.4.7-1.1
btrfs-progs 7.1-1.1
bubblewrap 0.12.0-1
bully 1.4.00-1.2
bun 1.4.0-1.1
bw-pinentry 1.0.8-1
byacc 20260126-1.1
bzip2 1.0.8-6.2
c-ares 1.34.8-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.128-1.1
ca-certificates-utils 20240618-1
cabextract 1.11-3.1
cadaver 0.28-1.1
cairo 1.18.4-1.2
cairomm 1.14.6-1.1
cairomm-1.16 1.18.1-1.1
calibre 9.14.0-1
calibre-plugin-dedrm 10.0.3-1
calibre-plugin-goodreads 1.8.5-1
calibre-plugin-kobo-driver 3.7.2-1
camlpdf 2.9-1
capnproto 1.5.0-1.1
capstone 5.0.9-1.1
cardinal-data 26.02-1
cardinal-standalone 26.02-1
cargo-about 0.8.4-2.1
cargo-depgraph 1.6.0-3.1
cargo-nextest 0.9.143-1.1
cargo-release 1.1.5-1.1
cargo-udeps 0.1.61-1.1
castxml 0.7.0-2.1
catch2 3.15.3-1.1
catdoc 0.95-6.2
catppuccin-cursors-mocha 2.0.0-1
cbindgen 0.29.4-1.1
cblas 3.12.1-2.2
ccache 4.14-1.1
ccid 1.8.3-1
cdparanoia 10.2-10.1
celt 0.11.3-7.1
certbot 5.7.0-1
certbot-dns-cloudflare 5.7.0-1
certbot-nginx 5.7.0-1
cfitsio 1:4.7.0-1.1
cfr 0.152-4
cgal 6.2.1-1
cgns 4.5.2-1.1
chafa 1.18.2-2.1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20260428-1
charls 2.4.4-1.1
checksec 3.2.0-2
chmlib 0.40-10.1
chntpw 140201-5.2
chromaprint-fftw 1.6.1-1.1
chrome-remote-desktop 152.0.7977.9-1
chromium 152.0.7977.82-1.1
chrony 4.8-3.1
chrpath 0.18-1.1
chuck 1.5.5.8-1.1
cifs-utils 7.5-1.1
cjson 1.7.19-1.1
claude-code 2.1.261-1
claude-conversation-search 1.6.0-1
claude-desktop 1.40609.1-1
clinfo 3.0.25.02.14-1.1
clojure 1.12.5.1664-1
clojure-lsp-bin 2:2026.07.06_14.34.19-1
cloudflared 2026.8.3-1.1
clthreads 2.4.2-7.1
clxclient 3.9.2-6.1
cmake 4.4.3-2.1
cmark 0.31.2-1.1
cmark-gfm 0.29.0.gfm.13-2.1
cmocka 2.0.2-1.1
cmt 1.18-5.1
codeberg-cli 0.5.5-2.1
codec2 1:1.2.0-2.1
codegraph-rs-git r351.g1615932-1
coin-or-asl 2.1.0-1.3
coin-or-cbc 2.10.13-2.1
coin-or-cgl 0.60.10-2.1
coin-or-clp 1.17.11-2.1
coin-or-coinutils 2.11.13-2.1
coin-or-data-sample 1.2.13-1
coin-or-mp 1.8.4-7
coin-or-osi 0.108.12-2.1
colord 1.4.8-1.1
colord-gtk-common 0.3.1-1.2
colord-gtk4 0.3.1-1.2
colord-kde 26.08.0-1.1
colord-sane 1.4.8-1.1
composefs 1.0.8-1.1
confuse 3.4-1.1
conky 1.24.2-1.1
conky-manager2 2.7-2.2
conkyforecast 2.24-1
consent-o-matic-browser-extension 1.1.5-1
containerd 2.3.4-1.1
containers-common 1:0.69.1-1
convertlit 1.8-13.1
coreutils 9.11-2
corkscrew 2.0-8.2
cowpatty 4.8-4.1
cpdf 2.9-1
cpio 2.15-3.1
cppcheck 2.21.1-1.1
cppdap 1.58.0-3.1
cpu_rec-git v1.1-1
cpuinfo r843.ea6b9f1-1.1
cpupower 7.2.3-1.1
cracklib 2.10.3-1.2
crawl-data-git 0.35a0+986+g2c7e200ab2-1
crawl-ncurses-git 0.35a0+986+g2c7e200ab2-1
crawl-tiles-git 0.35a0+986+g2c7e200ab2-1
cronie 1.7.2-2.1
crosstool-ng 1.28.0-1.1
crosswatch-git r347.a5ebe25-1
crypto++ 8.9.0-3.1
cryptsetup 2.8.7-1.1
csound 6.18.1-10.1
csound-doc 6.18.1-10.1
csound-plugins 1.0.2-18.1
csoundqt 1:1.1.3-3.1
cuff-git r30.6c7b195-1
cups 2:2.4.19-1.1
cups-browsed 2.1.1-1.2
cups-filters 2.0.1-2.1
cups-pdf 3.0.3-1.1
cups-pk-helper 0.2.7-2.2
curl 8.22.0-1
curl-impersonate 2.2.2-1.1
cursor-bin 3.18.25-1
cxx-rust-cssparser 1.0.0-1.1
cxxopts 3.3.1-1
cyme 3.0.1-1.1
cython 3.2.9-1.1
d-spy 50.0-1.1
darkstat 3.0.722-1.1
dart-sass 1.104.0-1.1
dav1d 1.5.4-1.1
davfs2 1.7.3-1.1
davs2 1.7-1.2
db 6.2.32-4.1
db5.3 5.3.28-7.1
dbus 1.16.2-1.2
dbus-broker 37-3.1
dbus-broker-units 37-3.1
dbus-glib 0.114-1.2
dbus-units 37-3.1
dbxtool 8-1
dconf 0.49.0-1.1
ddcutil 2.2.7-1.1
ddrescue 1.30-2.1
debhelper 14.3-1
debugedit 5.3-2
debuginfod 0.196-1.2
decibels 49.6.1-1
default-cursors 3-1
deno 2.9.6-1
desktop-file-utils 0.28-1.2
device-mapper 2.03.42-1.1
devil 1.8.0-9.1
devtools 1:1.5.1-1
dex2jar 2.1-2
dfu-util 0.11-3.2
dgedit 0.10.0-3.2
dh-autoreconf 22-3
dh-dkms-bin 3.2.2_1-1
dhcpcd 10.5.2-1.1
difftastic 0.70.0-2.1
diffutils 3.12-2.2
din 65-1.1
ding-libs 0.7.0-1.1
directx-headers 1:1.619.5-1.1
discount 3.0.2.0-1.1
discover 6.7.4-1.1
distorm 3.5.2.b-6.1
dive 0.13.1-1.1
djvulibre 3.5.30.1-1.1
dkms 3.4.3-2
dmidecode 3.7-1.1
dnsmasq 2.93-1.1
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.7.2-1.1
docling 2.125.0-1
doctest 2.5.2-1
dolphin 26.08.0-5.1
dosbox 0.74.3-4.1
dosfstools 4.2-5.2
dotconf 1.4.1-1.2
dotnet-host-preview-bin 1:11.0.0.sdk100preview7.26381.103-2
dotnet-runtime-6.0 6.0.36.sdk136-2.1
dotnet-runtime-8.0 8.0.30.sdk130-1
dotnet-runtime-9.0 9.0.19.sdk120-1.1
dotnet-sdk-6.0 6.0.36.sdk136-2.1
dotnet-sdk-8.0 8.0.30.sdk130-1
dotnet-targeting-pack-6.0 6.0.36.sdk136-2.1
dotnet-targeting-pack-8.0 8.0.30.sdk130-1
dotslash 0.5.8-1.1
double-conversion 3.4.0-1.1
dpdk 25.11.1-2
dpkg 1.23.7-1.1
drkonqi 6.7.4-1.1
droidcam-git v2.1.4.r4.76327712-1
drumgizmo-standalone 0.9.20-3.2
dscanner 0.15.2-2.2
dsniff 2.4b1-33.2
dsp 2.0-3.1
dtc 1:1.8.1-1.1
duckdb 1.5.5-1
duktape 2.7.0-7.2
e2fsprogs 1.47.4-1.1
earlyoom 1.9.0-1.1
ebook-tools 0.2.2-9.2
ebumeter 0.5.1-3.1
ecasound 2.9.3-19.1
editorconfig-core-c 0.12.11-1.1
edk2-aarch64 202608-1
edk2-ovmf 202608-1
edk2-shell 202608-1
efibootmgr 18-4.1
efitools 1.9.2-7.1
efivar 39-2.1
egl-wayland 4:1.1.21-1.1
egl-wayland2 1.0.1-1.1
eglexternalplatform 1.2.1-1
eigen 5.0.1-2.1
electron39 39.8.10-2
electron40-bin 40.10.6-1
electron41-bin 41.10.7-1
electron43 43.6.0-1
element 1.2.0-1
elfkickers 3.2-6.1
elfutils 0.196-1.2
elisa 26.08.0-1.1
email2phonenumber 29.9df9dbe-5
embedded-mono-img 0.2.0-3.1
embree 4.4.1-1.1
emldump 0.0.11-3
enchant 2.8.19-1.1
env-modules 5.6.1-3
epiphany 50.6-1.1
erofs-utils 1.9.4-1.1
esbuild 0.28.2-1.1
espeak-ng 1.52.0-1.2
espeakup 0.90-4.1
espflash 4.5.0-1.1
etherape 0.9.22-1.1
ethtool-git 6.15.r18.ge2930ba-1
ettercap 0.8.4.1-1.1
evilginx 3.3.0-1.2
evince 1:48.4-1.1
evolution-data-server 3.60.2-4.1
exempi 2.6.6-3.1
exfatprogs 1.4.3-1.1
exhale 1.2.2-2
exif-git 0.6.22.1.r547.g9af1f54-1
exiv2 0.28.9-1.1
expac 10-13.1
expat 2.8.4-1.1
exploitdb 20260709-1
ext4magic 0.3.2-4
extra-cmake-modules 6.29.0-1
eza 0.23.5-2.1
f2fs-tools 1.16.0-3.1
